abd,C_ach,C_akw,C_ata,C_kma,C_oro,C_pad,C_paj,C_pal,age,fthr_ed,mthr_ed,orphan96,hh_fthr_frm,hh_size96,educ,distress,log.wage
1,0,0,0,0,0,0,1,0,22,4,7,0,1,10,14,1.666666627,11.28979441
1,0,0,0,0,0,0,1,0,14,7,0,1,1,7,5,4.333333492,0
0,0,0,0,0,0,0,1,0,23,7,4,0,1,7,7,3.333333254,6.503789077
1,0,0,0,0,0,0,1,0,19,0,0,0,1,4,6,4.333333492,0
1,0,0,0,0,0,0,1,0,20,7,4,0,1,9,2,4.333333492,6.42387119
1,0,0,0,0,0,0,1,0,17,4,0,0,1,5,9,1.333333373,0
1,0,0,0,0,0,0,1,0,30,7,0,1,1,5,7,1.666666627,9.472781557
1,0,0,0,0,0,0,1,0,28,0,0,0,1,6,7,10.66666698,6.503789077
1,0,0,0,0,0,0,1,0,21,0,0,0,1,9,9,4.666666508,0
1,0,0,0,0,0,0,1,0,28,4,4,0,1,3,4,3.333333254,6.034683642
1,0,0,0,0,0,0,1,0,16,4,0,0,1,8,5,2.333333254,6.503789077
0,0,0,0,0,0,0,1,0,19,7,0,0,1,9,9,2.333333254,8.517393171
1,0,0,0,0,0,0,1,0,26,4,0,0,0,7,8,3,6.908754779
0,0,0,0,0,0,0,1,0,25,10,7,1,1,8,10,2.666666746,8.517393171
0,0,0,0,0,0,0,1,0,16,0,0,0,1,5,5,3.666666746,0
1,0,0,0,0,0,0,1,0,18,7,0,0,1,3,5,4,6.908754779
1,0,0,0,0,0,0,1,0,21,7,0,0,0,8,6,9,6.516193076
1,0,0,0,0,0,0,1,0,14,4,4,0,1,5,5,4,0
0,0,0,0,0,0,0,1,0,19,4,0,0,1,6,9,5.333333492,8.517393171
1,0,0,0,0,0,0,1,0,19,10,0,0,1,6,10,2.666666746,7.265129966
1,0,0,0,0,0,0,1,0,27,0,0,0,1,6,7,3,6.034683642
1,0,0,0,0,0,0,1,0,30,10,0,0,1,10,5,1.333333373,0
1,0,0,0,0,0,0,1,0,22,4,0,0,1,8,7,8.666666985,7.090909822
1,0,0,0,0,0,0,1,0,25,4,0,0,1,8,7,6,6.908754779
1,0,0,0,0,0,0,1,0,16,10,0,0,1,7,9,1,0
0,0,0,0,0,0,0,1,0,18,15,4,1,1,6,10,3.666666746,0
1,0,0,0,0,0,0,1,0,18,4,0,0,1,5,6,6,0
1,0,0,0,0,0,0,1,0,30,0,0,0,1,4,5,6.333333492,0
1,0,0,0,0,0,0,1,0,22,4,0,0,1,6,6,5.666666508,7.601402335
1,1,0,0,0,0,0,0,0,25,4,0,0,1,7,3,4.666666508,0
1,1,0,0,0,0,0,0,0,20,10,0,0,1,4,7,5.666666508,7.824445931
0,1,0,0,0,0,0,0,0,25,7,7,0,1,8,6,3,6.908754779
1,1,0,0,0,0,0,0,0,18,10,4,0,0,7,11,1,0
1,1,0,0,0,0,0,0,0,14,10,0,0,1,9,7,3.666666746,0
1,1,0,0,0,0,0,0,0,20,7,0,0,1,8,7,2,6.321766972
1,1,0,0,0,0,0,0,0,16,4,0,0,1,8,5,5,0
1,1,0,0,0,0,0,0,0,25,4,4,0,1,4,5,2.333333254,6.705381399
1,0,1,0,0,0,0,0,0,20,4,7,1,1,11,11,4.666666508,0
1,0,1,0,0,0,0,0,0,16,7,4,0,1,18,5,8.333333015,0
1,0,0,0,1,0,0,0,0,29,10,4,0,1,13,14,3.333333254,10.01273163
1,0,0,0,0,0,1,0,0,18,4,4,0,1,5,9,5.666666508,0
1,0,0,0,0,0,0,1,0,26,4,0,0,1,6,9,3,7.824445931
0,0,0,0,0,0,0,1,0,16,4,4,0,1,6,6,1.333333373,0
1,0,0,0,0,0,0,1,0,17,0,0,0,1,7,5,4,0
1,0,0,0,0,0,0,1,0,28,0,0,0,1,7,9,5.333333492,7.419180698
1,0,0,0,0,0,0,1,0,19,10,4,0,1,8,6,10.33333302,0
1,0,0,0,0,0,0,1,0,16,7,4,0,1,7,9,1,0
1,0,0,0,0,0,0,1,0,15,7,0,0,1,7,6,2.333333254,0
1,0,0,0,0,0,0,1,0,24,7,4,0,1,8,5,5,0
1,0,0,0,0,0,0,1,0,15,4,4,0,1,11,9,3.666666746,6.908754779
1,0,0,0,0,0,0,1,0,16,0,0,0,1,5,6,3,0
1,0,0,0,0,0,0,1,0,19,7,0,0,0,8,7,6.333333492,0
1,0,0,0,0,0,0,1,0,21,4,4,0,1,4,5,5,6.908754779
1,0,0,0,0,0,0,0,1,30,0,0,0,1,9,3,3.666666746,6.667865151
0,0,0,0,0,0,0,0,1,25,4,0,0,1,18,13,9.666666985,0
0,0,0,1,0,0,0,0,0,25,7,4,0,1,4,5,3,7.824445931
0,0,0,1,0,0,0,0,0,14,4,0,0,1,7,7,5,0
0,0,0,1,0,0,0,0,0,20,4,0,0,1,7,11,3.666666746,0
0,0,0,1,0,0,0,0,0,15,4,4,0,1,5,6,0.333333343,0
1,0,0,1,0,0,0,0,0,20,10,4,0,1,5,11,5.333333492,8.294299609
0,0,0,1,0,0,0,0,0,14,4,0,0,1,8,6,2.666666746,5.121977912
1,0,0,0,1,0,0,0,0,20,10,0,0,0,14,0,2.333333254,0
1,0,0,0,1,0,0,0,0,23,10,10,0,1,8,15,4.333333492,0
0,0,0,1,0,0,0,0,0,16,7,4,0,1,14,6,2.333333254,6.754770616
1,0,0,1,0,0,0,0,0,25,10,0,0,1,5,8,1,0
1,0,0,1,0,0,0,0,0,18,4,4,0,1,7,5,3,7.419180698
1,0,0,0,0,0,0,0,1,26,7,4,0,1,9,5,7.666666508,7.70671285
0,0,0,0,0,0,0,0,1,26,4,0,0,1,10,9,1.333333373,8.294299609
0,0,0,1,0,0,0,0,0,25,0,0,1,1,8,4,4,6.621405652
0,0,0,1,0,0,0,0,0,22,7,0,0,1,8,3,3.666666746,0
0,0,0,1,0,0,0,0,0,30,0,0,0,1,8,3,2.666666746,5.81213853
